x,y,z
12.088797,54.100949,15.6
12.088958,54.101050,15.3
12.088911,54.101063,15.2
12.088779,54.101156,15.2
12.088783,54.101081,15.3
12.089334,54.101409,14.6
12.088848,54.101889,14.1
12.088602,54.100582,16.2
12.088574,54.101121,15.3
12.088573,54.099444,17.6
12.088549,54.099484,17.5
12.088407,54.099651,17.2
12.088390,54.099679,17.2
12.088656,54.099670,17.2
12.088580,54.099742,17.2
12.088364,54.099803,17.3
12.088528,54.099878,17.2
12.088487,54.099952,17.1
12.088414,54.100080,17.0
12.088672,54.100449,16.3
12.088646,54.100660,16.0
12.088437,54.100700,16.0
12.088522,54.101054,15.4
12.088534,54.101249,15.1
12.088761,54.101570,14.5
12.089345,54.104049,11.6
12.088961,54.105952,4.9
12.088740,54.105694,5.2
12.088320,54.099956,17.1
12.088198,54.100053,17.0
12.088369,54.100159,16.8
12.088275,54.100115,17.0
12.088186,54.100094,16.8
12.088115,54.100197,16.8
12.088168,54.100488,16.3
12.088126,54.100564,16.3
12.088367,54.101404,14.9
12.088094,54.101585,14.6
12.088098,54.101481,14.8
12.088364,54.099870,17.2
12.088161,54.100282,16.6
12.088025,54.100342,16.5
12.087973,54.100396,16.2
12.087968,54.100465,15.8
12.087946,54.100503,16.3
12.087857,54.100552,16.3
12.087806,54.101511,14.9
12.087903,54.101611,14.7
12.087950,54.101693,14.4
12.088295,54.102063,13.9
12.087812,54.103246,13.1
12.087722,54.103335,13.1
12.087615,54.101399,15.2
12.087406,54.100009,16.7
12.087643,54.100235,16.9
12.087565,54.100749,16.2
12.087529,54.101324,15.6
12.087495,54.101547,14.9
12.087724,54.101832,14.2
12.087616,54.103052,13.3
12.087317,54.101110,15.9
12.087216,54.098569,19.3
12.087499,54.098580,18.7
12.087269,54.099976,16.5
12.087091,54.099982,16.6
12.087223,54.100316,16.6
12.087282,54.101050,16.1
12.087185,54.100918,16.2
12.087122,54.100841,16.2
12.087140,54.101139,16.0
12.087112,54.101457,15.7
12.087094,54.101798,14.9
12.087070,54.099956,16.6
12.087080,54.100154,16.7
12.086817,54.100629,16.4
12.086867,54.100528,16.5
12.086812,54.100462,16.5
12.086734,54.100656,16.5
12.087024,54.100721,16.3
12.086964,54.100650,16.4
12.086789,54.100724,16.4
12.087061,54.101053,16.1
12.086945,54.100920,16.3
12.086968,54.100948,16.2
12.086805,54.101290,16.1
12.087109,54.101570,15.4
12.086975,54.101460,15.8
12.086753,54.101644,15.8
12.086926,54.101700,15.4
12.086731,54.101684,15.7
12.086614,54.101701,15.7
12.086572,54.100422,16.7
12.086707,54.100334,17.1
12.086639,54.100254,17.3
12.086500,54.100363,16.8
12.086477,54.100334,17.4
12.086657,54.100557,16.2
12.086713,54.101543,15.9
12.086610,54.101579,15.8
12.086474,54.101812,15.5
12.087094,54.103359,13.4
12.086173,54.101293,16.3
12.086210,54.101242,16.3
12.086191,54.101484,16.2
12.086172,54.101424,16.3
12.086357,54.101639,16.0
12.086265,54.101660,16.0
12.086418,54.101731,15.8
12.086361,54.101754,15.7
12.086079,54.101095,16.3
12.085989,54.101069,16.4
12.085961,54.101053,16.4
12.086147,54.101369,16.3
12.086049,54.101219,16.4
12.085940,54.101940,15.2
12.086337,54.100324,17.3
12.086025,54.100498,16.8
12.085975,54.100546,16.9
12.085902,54.100482,17.1
12.085908,54.100897,16.6
12.085877,54.101029,16.4
12.086017,54.101180,16.4
12.086032,54.101868,15.4
12.086026,54.101728,15.8
12.085912,54.101771,15.6
12.085903,54.101975,15.2
12.085864,54.102216,14.8
12.085784,54.102237,14.9
12.085806,54.102253,14.8
12.086082,54.102880,14.2
12.085826,54.103026,14.3
12.086568,54.103869,13.2
12.086048,54.104540,13.3
12.086323,54.104599,13.0
12.085934,54.105054,13.2
12.085593,54.101583,16.1
12.085726,54.101545,16.2
12.085702,54.101497,16.3
12.085714,54.101942,15.3
12.085680,54.101980,15.3
12.085610,54.102847,14.7
12.085780,54.103003,14.4
12.085743,54.103248,14.4
12.085685,54.103413,14.5
12.085844,54.100990,16.6
12.085578,54.101346,16.7
12.085537,54.101303,16.8
12.085484,54.101495,16.5
12.085679,54.101839,15.4
12.085561,54.101867,15.4
12.085558,54.102207,15.2
12.085655,54.102378,14.8
12.085537,54.102637,14.9
12.085481,54.102844,14.8
12.085512,54.102882,14.8
12.085613,54.103115,14.6
12.085561,54.103040,14.7
12.085589,54.103439,14.8
12.085577,54.103675,15.0
12.085682,54.103525,14.7
12.085447,54.101149,17.1
12.085383,54.101110,17.3
12.085309,54.101180,17.4
12.085430,54.102908,14.9
12.085383,54.102849,15.0
12.085722,54.100511,17.3
12.085695,54.100559,17.3
12.085426,54.100633,17.8
12.085351,54.100701,17.9
12.085199,54.101095,17.7
12.085425,54.101268,17.0
12.085423,54.101394,16.8
12.085322,54.101698,16.1
12.085475,54.102142,15.4
12.085454,54.102610,15.0
12.085269,54.102430,15.4
12.085314,54.102732,15.3
12.085230,54.102659,15.4
12.085238,54.103223,15.4
12.085174,54.103145,15.5
12.085459,54.103793,15.1
12.085764,54.104544,13.6
12.085163,54.104633,14.0
12.085300,54.107139,10.7
12.085063,54.102459,15.7
12.085128,54.102537,15.5
12.085155,54.103491,15.7
12.085168,54.100700,18.2
12.084943,54.100761,18.5
12.085058,54.100780,18.3
12.084858,54.100849,18.4
12.085115,54.101124,17.8
12.085033,54.101147,17.9
12.085115,54.102228,15.8
12.085004,54.102067,16.0
12.084948,54.102044,16.1
12.085163,54.102256,15.7
12.084974,54.102333,15.8
12.084927,54.102269,16.0
12.084853,54.102755,15.9
12.084918,54.102835,15.8
12.085074,54.103023,15.6
12.085015,54.102966,15.7
12.085023,54.103130,15.6
12.085001,54.103103,15.8
12.085094,54.103315,15.7
12.085030,54.103249,15.8
12.085000,54.103213,15.9
12.084883,54.103494,16.2
12.085119,54.103899,15.5
12.084978,54.103971,15.4
12.085091,54.104124,14.9
12.084948,54.104130,15.0
12.084967,54.104237,14.8
12.085537,54.105439,12.8
12.084709,54.101767,16.8
12.084761,54.102068,16.2
12.084813,54.102141,16.1
12.084759,54.102638,16.0
12.084721,54.100867,18.6
12.084666,54.100974,18.5
12.084661,54.100833,18.6
12.084553,54.101506,17.4
12.084525,54.101478,17.4
12.084572,54.101578,17.2
12.084621,54.101639,17.1
12.084757,54.101812,16.7
12.084586,54.101877,16.7
12.084541,54.101821,16.9
12.084698,54.102562,16.1
12.084599,54.102442,16.3
12.084519,54.102682,16.3
12.084742,54.102923,16.2
12.084709,54.102865,16.1
12.084691,54.102832,16.3
12.084757,54.102968,16.2
12.084825,54.103027,16.0
12.084715,54.103476,16.2
12.084587,54.103861,16.0
12.084842,54.104101,15.3
12.084546,54.104073,15.6
12.084520,54.103963,15.7
12.084931,54.105312,12.9
12.085069,54.105531,12.6
12.084437,54.101693,17.2
12.084439,54.102248,16.4
12.084526,54.102381,16.3
12.084431,54.101199,18.2
12.084286,54.101227,18.0
12.084263,54.101199,18.1
12.084242,54.101120,18.2
12.084206,54.101098,18.3
12.084429,54.101315,17.9
12.084420,54.101392,17.7
12.084374,54.101617,17.3
12.084215,54.101420,17.6
12.084276,54.101494,17.5
12.084388,54.102180,16.4
12.084227,54.101984,16.8
12.084229,54.102291,16.5
12.084470,54.102573,16.4
12.084434,54.102541,16.4
12.084369,54.102443,16.5
12.084354,54.102489,16.5
12.084294,54.102459,16.6
12.084465,54.102656,16.4
12.084310,54.103408,16.4
12.084238,54.103473,16.3
12.084453,54.103660,16.4
12.084344,54.103639,16.3
12.084307,54.103689,16.2
12.084310,54.103872,15.9
12.084391,54.103931,15.7
12.084447,54.104252,15.0
12.084366,54.104291,14.8
12.084157,54.101025,18.4
12.084131,54.100989,18.4
12.084038,54.101015,18.4
12.084120,54.101306,17.9
12.084203,54.103751,16.0
12.084150,54.103677,16.1
12.084037,54.104143,15.1
